user_id,investment_type,asset_name,amount_invested,current_value,returns_percentage,purchase_date,platform
USER0025,Fixed Deposits,Fixed Deposits Portfolio,966730,1114032.91,15.24,2024-10-30,Mutual Fund House
USER0026,Stocks,Stocks Portfolio,27271,25597.03,-6.14,2025-09-20,Direct
USER0026,Gold,Gold Portfolio,133401,137877.61,3.36,2025-09-05,Direct
USER0026,Fixed Deposits,Fixed Deposits Portfolio,62455,59704.66,-4.4,2024-08-21,Direct
USER0026,Mutual Funds,Mutual Funds Portfolio,69809,72397.44,3.71,2024-03-22,Bank
USER0027,Mutual Funds,Mutual Funds Portfolio,379266,418654.67,10.39,2024-01-24,Direct
USER0027,Fixed Deposits,Fixed Deposits Portfolio,125775,135577.67,7.79,2023-06-12,Stock Broker
USER0028,Real Estate,Real Estate Portfolio,4268634,4427229.12,3.72,2025-04-05,Mutual Fund House
USER0028,Mutual Funds,Mutual Funds Portfolio,361662,394101.76,8.97,2025-04-06,Direct
USER0029,Gold,Gold Portfolio,159090,177917.55,11.83,2024-12-06,Bank
USER0029,Stocks,Stocks Portfolio,376086,398190.58,5.88,2024-11-19,Bank
USER0030,Real Estate,Real Estate Portfolio,1855678,2116482.4,14.05,2024-09-04,Mutual Fund House
USER0030,Mutual Funds,Mutual Funds Portfolio,396528,482801.73,21.76,2023-03-18,Stock Broker
USER0031,Mutual Funds,Mutual Funds Portfolio,96170,104191.34,8.34,2024-05-07,Mutual Fund House
USER0031,Fixed Deposits,Fixed Deposits Portfolio,607897,573285.67,-5.69,2024-01-30,Mutual Fund House
USER0031,Stocks,Stocks Portfolio,42007,38232.79,-8.98,2024-08-02,Bank
USER0032,Gold,Gold Portfolio,124913,142682.11,14.23,2023-10-28,Direct
USER0032,Stocks,Stocks Portfolio,343728,399867.02,16.33,2024-08-11,Direct
USER0032,Real Estate,Real Estate Portfolio,3037761,3425119.61,12.75,2025-01-07,Stock Broker
USER0033,Fixed Deposits,Fixed Deposits Portfolio,742736,763239.23,2.76,2024-02-05,Mutual Fund House
USER0033,Bonds,Bonds Portfolio,188843,195630.34,3.59,2024-01-11,Bank
USER0034,Mutual Funds,Mutual Funds Portfolio,188565,222836.59,18.17,2025-08-08,Bank
USER0034,Fixed Deposits,Fixed Deposits Portfolio,689172,739156.45,7.25,2023-08-31,Stock Broker
USER0035,Fixed Deposits,Fixed Deposits Portfolio,484059,567570.34,17.25,2023-11-06,Direct
USER0036,Bonds,Bonds Portfolio,158699,191950.38,20.95,2023-08-20,Direct
USER0036,Gold,Gold Portfolio,22836,24025.79,5.21,2024-06-25,Mutual Fund House
USER0037,Bonds,Bonds Portfolio,167947,205074.79,22.11,2023-08-17,Direct
USER0037,Gold,Gold Portfolio,128316,149202.22,16.28,2025-02-28,Bank
USER0038,Gold,Gold Portfolio,164451,170223.36,3.51,2025-03-18,Bank
USER0038,Bonds,Bonds Portfolio,145162,180392.25,24.27,2025-08-05,Stock Broker
USER0038,Fixed Deposits,Fixed Deposits Portfolio,306014,328407.67,7.32,2023-09-28,Stock Broker
USER0039,Mutual Funds,Mutual Funds Portfolio,357446,353518.72,-1.1,2023-02-12,Mutual Fund House
USER0040,Real Estate,Real Estate Portfolio,1301288,1418205.37,8.98,2024-08-12,Bank
USER0040,Bonds,Bonds Portfolio,297098,302550.54,1.84,2023-02-22,Bank
USER0040,Gold,Gold Portfolio,18325,17710.77,-3.35,2023-05-16,Direct
USER0040,Mutual Funds,Mutual Funds Portfolio,230652,227857.42,-1.21,2025-05-20,Mutual Fund House
USER0041,Gold,Gold Portfolio,164448,154924.63,-5.79,2024-06-13,Mutual Fund House
USER0041,Bonds,Bonds Portfolio,78070,89178.44,14.23,2025-01-15,Mutual Fund House
USER0041,Fixed Deposits,Fixed Deposits Portfolio,783919,771356.48,-1.6,2025-02-06,Bank
USER0041,Mutual Funds,Mutual Funds Portfolio,126100,123592.79,-1.99,2023-12-15,Bank
USER0042,Fixed Deposits,Fixed Deposits Portfolio,706660,783205.24,10.83,2025-02-11,Stock Broker
USER0043,Mutual Funds,Mutual Funds Portfolio,145063,178732.26,23.21,2025-04-13,Stock Broker
USER0043,Real Estate,Real Estate Portfolio,1505495,1465366.05,-2.67,2023-02-11,Direct
USER0044,Mutual Funds,Mutual Funds Portfolio,127272,128557.55,1.01,2023-04-20,Mutual Fund House
USER0045,Real Estate,Real Estate Portfolio,3299168,3810864.9,15.51,2024-09-07,Stock Broker
USER0045,Bonds,Bonds Portfolio,23206,25412.12,9.51,2024-09-08,Bank
USER0046,Fixed Deposits,Fixed Deposits Portfolio,952739,1131819.56,18.8,2024-02-17,Direct
USER0047,Stocks,Stocks Portfolio,78159,85477.25,9.36,2025-10-14,Direct
USER0047,Gold,Gold Portfolio,115906,141680.72,22.24,2025-02-16,Direct
USER0048,Fixed Deposits,Fixed Deposits Portfolio,574082,655827.6,14.24,2025-02-14,Bank
USER0049,Mutual Funds,Mutual Funds Portfolio,97131,116302.88,19.74,2025-02-01,Mutual Fund House
USER0049,Real Estate,Real Estate Portfolio,2133303,2163880.3,1.43,2024-10-05,Mutual Fund House
USER0049,Fixed Deposits,Fixed Deposits Portfolio,760736,823706.79,8.28,2023-05-03,Bank
USER0050,Real Estate,Real Estate Portfolio,1531893,1816019.22,18.55,2024-07-24,Mutual Fund House
USER0050,Mutual Funds,Mutual Funds Portfolio,270073,286148.27,5.95,2025-06-11,Mutual Fund House
USER0051,Bonds,Bonds Portfolio,295333,359596.47,21.76,2025-09-03,Mutual Fund House
USER0051,Mutual Funds,Mutual Funds Portfolio,231191,271733.89,17.54,2024-11-17,Bank
USER0051,Stocks,Stocks Portfolio,208676,187878.51,-9.97,2023-04-08,Mutual Fund House
USER0052,Stocks,Stocks Portfolio,471217,445923.12,-5.37,2024-02-06,Direct
USER0052,Fixed Deposits,Fixed Deposits Portfolio,906269,847897.25,-6.44,2023-03-21,Mutual Fund House
USER0052,Real Estate,Real Estate Portfolio,2632420,3116979.08,18.41,2025-05-27,Bank
USER0052,Gold,Gold Portfolio,112576,135254.67,20.15,2023-03-21,Mutual Fund House
USER0053,Real Estate,Real Estate Portfolio,3276241,3311871.03,1.09,2024-09-02,Mutual Fund House
USER0053,Stocks,Stocks Portfolio,243449,279808.29,14.94,2025-01-08,Bank
USER0053,Gold,Gold Portfolio,118976,137455.75,15.53,2024-11-05,Mutual Fund House
USER0053,Fixed Deposits,Fixed Deposits Portfolio,283534,353368.61,24.63,2024-07-29,Direct
USER0054,Real Estate,Real Estate Portfolio,2488759,2408154.91,-3.24,2023-06-13,Bank
USER0055,Stocks,Stocks Portfolio,358161,397232.83,10.91,2025-12-30,Stock Broker
USER0055,Real Estate,Real Estate Portfolio,1766491,1739066.32,-1.55,2024-04-12,Direct
USER0055,Mutual Funds,Mutual Funds Portfolio,212716,236892.9,11.37,2024-05-21,Mutual Fund House
USER0056,Gold,Gold Portfolio,160408,167887.53,4.66,2023-10-05,Stock Broker
USER0056,Mutual Funds,Mutual Funds Portfolio,38546,35969.81,-6.68,2024-02-04,Mutual Fund House
USER0056,Bonds,Bonds Portfolio,118429,133537.81,12.76,2023-09-17,Direct
USER0057,Stocks,Stocks Portfolio,42027,38717.74,-7.87,2023-03-15,Stock Broker
USER0057,Mutual Funds,Mutual Funds Portfolio,257327,318179.27,23.65,2023-06-11,Stock Broker
USER0058,Real Estate,Real Estate Portfolio,1954313,2345412.16,20.01,2024-08-04,Mutual Fund House
USER0058,Fixed Deposits,Fixed Deposits Portfolio,155139,152424.6,-1.75,2023-09-17,Bank
USER0058,Bonds,Bonds Portfolio,220428,235409.02,6.8,2025-08-24,Mutual Fund House
USER0058,Gold,Gold Portfolio,156915,151660.16,-3.35,2025-07-28,Stock Broker
USER0059,Stocks,Stocks Portfolio,400418,498991.92,24.62,2023-10-31,Bank
USER0059,Mutual Funds,Mutual Funds Portfolio,397092,470218.15,18.42,2024-04-30,Mutual Fund House
USER0059,Fixed Deposits,Fixed Deposits Portfolio,164870,178465.31,8.25,2025-01-19,Stock Broker
USER0059,Bonds,Bonds Portfolio,75657,75326.55,-0.44,2023-04-24,Stock Broker
USER0060,Mutual Funds,Mutual Funds Portfolio,322191,312809.1,-2.91,2025-09-03,Mutual Fund House
USER0060,Bonds,Bonds Portfolio,135587,169161.56,24.76,2024-12-07,Direct
USER0060,Gold,Gold Portfolio,75205,93035.96,23.71,2024-03-09,Mutual Fund House
USER0061,Gold,Gold Portfolio,136014,160857.0,18.27,2023-03-28,Direct
USER0061,Bonds,Bonds Portfolio,60288,68706.7,13.96,2023-07-06,Bank
USER0062,Bonds,Bonds Portfolio,273464,305863.34,11.85,2024-12-07,Bank
USER0062,Stocks,Stocks Portfolio,252633,304801.96,20.65,2024-03-13,Mutual Fund House
USER0062,Gold,Gold Portfolio,87620,91438.83,4.36,2023-07-31,Bank
USER0062,Mutual Funds,Mutual Funds Portfolio,26122,27834.88,6.56,2025-05-09,Mutual Fund House
USER0063,Fixed Deposits,Fixed Deposits Portfolio,423996,484391.78,14.24,2023-11-08,Bank
USER0063,Bonds,Bonds Portfolio,39632,42796.01,7.98,2025-09-24,Bank
USER0063,Gold,Gold Portfolio,110155,123685.6,12.28,2023-07-23,Bank
USER0063,Real Estate,Real Estate Portfolio,4354298,4461464.27,2.46,2025-12-21,Bank
USER0064,Real Estate,Real Estate Portfolio,2183125,2036365.35,-6.72,2025-08-28,Bank
USER0065,Real Estate,Real Estate Portfolio,4969020,4804594.69,-3.31,2023-03-27,Bank
USER0065,Fixed Deposits,Fixed Deposits Portfolio,321578,346682.22,7.81,2023-05-08,Direct
USER0065,Gold,Gold Portfolio,83117,81946.09,-1.41,2025-01-11,Bank
USER0065,Bonds,Bonds Portfolio,58485,72718.02,24.34,2024-08-24,Bank
USER0066,Gold,Gold Portfolio,130204,121824.09,-6.44,2023-03-21,Direct
USER0066,Stocks,Stocks Portfolio,254502,249845.85,-1.83,2023-10-30,Bank
USER0066,Bonds,Bonds Portfolio,108626,100007.77,-7.93,2024-10-02,Direct
USER0067,Bonds,Bonds Portfolio,262012,288558.36,10.13,2023-06-24,Mutual Fund House
USER0067,Real Estate,Real Estate Portfolio,1933567,2239128.94,15.8,2025-06-21,Bank
USER0067,Gold,Gold Portfolio,116720,109690.71,-6.02,2024-10-17,Mutual Fund House
USER0067,Mutual Funds,Mutual Funds Portfolio,356252,423247.38,18.81,2024-04-20,Direct
USER0068,Stocks,Stocks Portfolio,69143,64394.54,-6.87,2025-06-06,Bank
USER0069,Fixed Deposits,Fixed Deposits Portfolio,651309,594851.35,-8.67,2023-03-21,Direct
USER0069,Mutual Funds,Mutual Funds Portfolio,293969,271226.2,-7.74,2024-05-26,Bank
USER0069,Real Estate,Real Estate Portfolio,4067111,4599700.55,13.1,2024-04-17,Bank
USER0069,Gold,Gold Portfolio,158039,146095.14,-7.56,2023-07-24,Direct
USER0070,Gold,Gold Portfolio,37123,35465.93,-4.46,2025-07-06,Mutual Fund House
USER0071,Fixed Deposits,Fixed Deposits Portfolio,833989,902470.8,8.21,2024-11-08,Stock Broker
USER0071,Bonds,Bonds Portfolio,65085,65537.4,0.7,2024-06-21,Direct
USER0071,Gold,Gold Portfolio,14636,17602.0,20.27,2023-11-08,Direct
USER0072,Mutual Funds,Mutual Funds Portfolio,101257,108737.45,7.39,2025-03-25,Direct
USER0073,Bonds,Bonds Portfolio,55656,64716.23,16.28,2024-08-26,Bank
USER0073,Stocks,Stocks Portfolio,84807,98716.93,16.4,2024-10-09,Mutual Fund House
USER0074,Stocks,Stocks Portfolio,461338,487741.05,5.72,2024-01-26,Mutual Fund House
USER0075,Bonds,Bonds Portfolio,93336,98482.79,5.51,2023-07-15,Mutual Fund House
USER0076,Bonds,Bonds Portfolio,132884,157489.25,18.52,2023-07-22,Mutual Fund House
USER0076,Real Estate,Real Estate Portfolio,3942377,4544657.43,15.28,2024-04-30,Stock Broker
USER0076,Stocks,Stocks Portfolio,85291,82180.16,-3.65,2024-11-22,Stock Broker
USER0076,Fixed Deposits,Fixed Deposits Portfolio,414746,477720.07,15.18,2023-11-14,Mutual Fund House
USER0077,Mutual Funds,Mutual Funds Portfolio,136969,124833.11,-8.86,2024-04-03,Bank
USER0077,Stocks,Stocks Portfolio,462933,512829.33,10.78,2024-12-01,Direct
USER0077,Gold,Gold Portfolio,39015,38087.86,-2.38,2023-03-24,Bank
USER0078,Gold,Gold Portfolio,159040,143827.25,-9.57,2023-12-16,Bank
USER0078,Bonds,Bonds Portfolio,13782,15071.94,9.36,2024-02-29,Mutual Fund House
USER0078,Fixed Deposits,Fixed Deposits Portfolio,714217,773420.75,8.29,2024-03-28,Stock Broker
USER0079,Fixed Deposits,Fixed Deposits Portfolio,702822,781714.09,11.23,2024-10-27,Bank
USER0079,Bonds,Bonds Portfolio,151881,161762.12,6.51,2025-08-13,Bank
USER0079,Mutual Funds,Mutual Funds Portfolio,120537,133588.53,10.83,2023-12-14,Bank
USER0080,Gold,Gold Portfolio,175215,178894.23,2.1,2025-11-26,Bank
USER0080,Fixed Deposits,Fixed Deposits Portfolio,52672,50499.11,-4.13,2023-07-04,Stock Broker
USER0080,Bonds,Bonds Portfolio,12887,11908.43,-7.59,2025-06-18,Stock Broker
USER0081,Bonds,Bonds Portfolio,115365,111314.17,-3.51,2024-01-22,Direct
USER0081,Real Estate,Real Estate Portfolio,4741691,5340475.31,12.63,2023-12-05,Bank
USER0082,Real Estate,Real Estate Portfolio,1072361,978395.1,-8.76,2023-04-30,Bank
USER0082,Fixed Deposits,Fixed Deposits Portfolio,451808,528589.46,16.99,2023-09-23,Stock Broker
USER0082,Gold,Gold Portfolio,22442,22273.73,-0.75,2024-05-31,Mutual Fund House
USER0082,Mutual Funds,Mutual Funds Portfolio,44909,51123.2,13.84,2023-05-12,Bank
USER0083,Real Estate,Real Estate Portfolio,2977790,3595204.05,20.73,2025-05-07,Direct
USER0083,Bonds,Bonds Portfolio,249069,276146.77,10.87,2023-11-30,Direct
USER0084,Gold,Gold Portfolio,60282,62426.24,3.56,2024-08-23,Bank
USER0084,Bonds,Bonds Portfolio,179275,167779.05,-6.41,2024-06-05,Bank
USER0085,Stocks,Stocks Portfolio,84347,76006.17,-9.89,2025-12-02,Stock Broker
USER0085,Fixed Deposits,Fixed Deposits Portfolio,534232,519781.48,-2.7,2023-12-17,Bank
USER0085,Real Estate,Real Estate Portfolio,3000738,3487193.16,16.21,2025-03-03,Stock Broker
USER0086,Mutual Funds,Mutual Funds Portfolio,313882,362556.27,15.51,2023-02-22,Bank
USER0087,Stocks,Stocks Portfolio,40422,37246.06,-7.86,2024-02-12,Stock Broker
USER0088,Gold,Gold Portfolio,166993,198993.12,19.16,2024-08-10,Bank
USER0088,Stocks,Stocks Portfolio,222970,255277.51,14.49,2025-04-10,Mutual Fund House
USER0089,Bonds,Bonds Portfolio,110432,106303.07,-3.74,2023-03-01,Mutual Fund House
USER0089,Stocks,Stocks Portfolio,468848,423052.98,-9.77,2025-08-25,Bank
USER0089,Gold,Gold Portfolio,74459,83861.91,12.63,2023-08-11,Stock Broker
USER0090,Stocks,Stocks Portfolio,105108,97101.52,-7.62,2025-12-21,Mutual Fund House
USER0091,Real Estate,Real Estate Portfolio,2362842,2302102.01,-2.57,2025-05-24,Bank
USER0091,Bonds,Bonds Portfolio,200407,186388.72,-6.99,2024-04-07,Direct
USER0091,Gold,Gold Portfolio,160105,146973.08,-8.2,2025-08-02,Stock Broker
USER0092,Fixed Deposits,Fixed Deposits Portfolio,424343,411101.77,-3.12,2023-06-01,Mutual Fund House
USER0092,Mutual Funds,Mutual Funds Portfolio,359990,326832.59,-9.21,2024-05-24,Mutual Fund House
USER0093,Bonds,Bonds Portfolio,40453,37025.41,-8.47,2024-05-05,Direct
USER0093,Stocks,Stocks Portfolio,316208,303688.24,-3.96,2024-03-03,Mutual Fund House
USER0093,Gold,Gold Portfolio,191642,188036.4,-1.88,2023-09-19,Direct
USER0094,Mutual Funds,Mutual Funds Portfolio,34095,41156.25,20.71,2025-10-12,Mutual Fund House
USER0094,Real Estate,Real Estate Portfolio,3164724,3010523.83,-4.87,2025-03-12,Stock Broker
USER0094,Fixed Deposits,Fixed Deposits Portfolio,92735,96057.27,3.58,2024-03-16,Mutual Fund House
USER0094,Bonds,Bonds Portfolio,184290,216184.19,17.31,2023-10-02,Mutual Fund House
USER0095,Gold,Gold Portfolio,111885,117165.78,4.72,2024-08-17,Mutual Fund House
USER0095,Bonds,Bonds Portfolio,195255,219511.46,12.42,2023-12-23,Direct
USER0095,Mutual Funds,Mutual Funds Portfolio,373979,432064.95,15.53,2023-02-18,Bank
USER0096,Mutual Funds,Mutual Funds Portfolio,308555,366759.56,18.86,2025-01-16,Bank
USER0096,Bonds,Bonds Portfolio,35986,43313.36,20.36,2025-07-01,Bank
USER0096,Stocks,Stocks Portfolio,422555,482696.02,14.23,2024-12-09,Mutual Fund House
USER0096,Fixed Deposits,Fixed Deposits Portfolio,518918,626885.19,20.81,2024-08-11,Mutual Fund House
USER0097,Mutual Funds,Mutual Funds Portfolio,301082,281613.91,-6.47,2024-10-17,Mutual Fund House
USER0098,Stocks,Stocks Portfolio,183403,181369.74,-1.11,2023-03-03,Bank
USER0098,Mutual Funds,Mutual Funds Portfolio,66624,75398.45,13.17,2023-10-26,Bank
USER0098,Gold,Gold Portfolio,161965,162864.33,0.56,2023-02-14,Mutual Fund House
USER0099,Bonds,Bonds Portfolio,232838,221516.78,-4.86,2025-02-17,Bank
USER0099,Stocks,Stocks Portfolio,476721,563141.73,18.13,2023-11-10,Bank
USER0099,Fixed Deposits,Fixed Deposits Portfolio,174292,191750.46,10.02,2023-02-07,Stock Broker
USER0100,Gold,Gold Portfolio,158274,190362.87,20.27,2025-09-26,Bank
USER0101,Fixed Deposits,Fixed Deposits Portfolio,984523,1165524.13,18.38,2024-05-10,Direct
USER0101,Real Estate,Real Estate Portfolio,3354922,3268389.14,-2.58,2025-02-27,Direct
USER0102,Mutual Funds,Mutual Funds Portfolio,68465,80241.46,17.2,2023-12-12,Bank
USER0103,Stocks,Stocks Portfolio,274436,285207.43,3.92,2025-06-01,Mutual Fund House
USER0103,Real Estate,Real Estate Portfolio,1882332,1924887.45,2.26,2023-08-21,Mutual Fund House
USER0104,Real Estate,Real Estate Portfolio,1100996,1329354.02,20.74,2025-05-28,Stock Broker
USER0104,Fixed Deposits,Fixed Deposits Portfolio,203752,199212.15,-2.23,2025-05-25,Direct
USER0105,Gold,Gold Portfolio,156070,164113.54,5.15,2025-02-17,Direct
USER0106,Mutual Funds,Mutual Funds Portfolio,350693,394455.13,12.48,2025-10-16,Mutual Fund House
USER0106,Stocks,Stocks Portfolio,141220,128814.02,-8.78,2025-05-10,Mutual Fund House
USER0107,Gold,Gold Portfolio,37620,34421.4,-8.5,2025-12-03,Direct
USER0108,Real Estate,Real Estate Portfolio,2704594,3354212.9,24.02,2024-04-02,Bank
USER0109,Real Estate,Real Estate Portfolio,3722528,4225011.69,13.5,2025-04-10,Direct
USER0109,Stocks,Stocks Portfolio,378721,379097.99,0.1,2025-11-12,Mutual Fund House
USER0109,Gold,Gold Portfolio,199971,244761.48,22.4,2025-08-06,Stock Broker
USER0109,Mutual Funds,Mutual Funds Portfolio,99953,102274.85,2.32,2024-09-25,Stock Broker
USER0110,Real Estate,Real Estate Portfolio,3037678,3418322.72,12.53,2024-09-05,Bank
USER0110,Gold,Gold Portfolio,189170,177845.51,-5.99,2025-03-08,Bank
USER0110,Fixed Deposits,Fixed Deposits Portfolio,120835,119144.7,-1.4,2023-03-08,Bank
USER0110,Stocks,Stocks Portfolio,180051,220479.95,22.45,2023-06-04,Direct
USER0111,Real Estate,Real Estate Portfolio,3325226,3095345.35,-6.91,2024-08-20,Mutual Fund House
USER0111,Gold,Gold Portfolio,128265,123669.77,-3.58,2024-09-18,Bank
USER0111,Bonds,Bonds Portfolio,113604,110821.11,-2.45,2023-06-10,Stock Broker
USER0112,Stocks,Stocks Portfolio,316684,389919.81,23.13,2025-03-26,Mutual Fund House
USER0113,Mutual Funds,Mutual Funds Portfolio,319802,306542.94,-4.15,2023-07-24,Mutual Fund House
USER0113,Real Estate,Real Estate Portfolio,3516799,4030151.48,14.6,2025-08-02,Stock Broker
USER0113,Fixed Deposits,Fixed Deposits Portfolio,690348,655584.92,-5.04,2025-04-07,Bank
USER0114,Real Estate,Real Estate Portfolio,3425957,3736167.17,9.05,2023-09-02,Stock Broker
USER0114,Stocks,Stocks Portfolio,426952,431762.0,1.13,2025-06-28,Bank
USER0115,Mutual Funds,Mutual Funds Portfolio,83248,79551.82,-4.44,2023-05-29,Direct
USER0115,Real Estate,Real Estate Portfolio,1474927,1426575.95,-3.28,2024-03-04,Mutual Fund House
USER0115,Stocks,Stocks Portfolio,286105,301314.62,5.32,2025-11-25,Bank
USER0116,Mutual Funds,Mutual Funds Portfolio,232229,235865.47,1.57,2025-06-05,Bank
USER0116,Fixed Deposits,Fixed Deposits Portfolio,933249,1072718.69,14.94,2024-05-09,Mutual Fund House
USER0116,Stocks,Stocks Portfolio,289152,298734.46,3.31,2023-12-27,Stock Broker
USER0116,Real Estate,Real Estate Portfolio,3867708,3480951.15,-10.0,2024-11-26,Bank
USER0117,Gold,Gold Portfolio,182093,186483.22,2.41,2025-04-10,Bank
USER0118,Stocks,Stocks Portfolio,22524,25382.37,12.69,2023-08-09,Stock Broker
USER0118,Mutual Funds,Mutual Funds Portfolio,69144,71151.15,2.9,2023-02-23,Stock Broker
USER0118,Fixed Deposits,Fixed Deposits Portfolio,296502,296690.96,0.06,2023-08-17,Bank
USER0119,Fixed Deposits,Fixed Deposits Portfolio,629679,770511.05,22.37,2025-11-12,Mutual Fund House
